,YEAR,CONF,TEAM NO,TEAM,SEED,ROUND,KADJ O,KADJ D,KADJ EM,BADJ O,BADJ D,BADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%
87,2022,Amer,924,Houston,5,8,117.348,90.8508,26.4976,117.1,88.9,28.2,53.6,43.5,28.7,35.1,17.1,21.7,37.8,72.7,27.3,62.2
88,2022,B10,923,Illinois,4,32,113.725,94.138,19.5866,113.6,93.1,20.5,53.1,46.3,31.7,28.4,17.7,15.6,33.4,74.2,25.8,66.6
89,2022,B10,922,Indiana,12,64,107.558,92.6213,14.9367,108.0,90.5,17.5,51.3,45.6,33.5,30.6,17.3,17.4,26.9,75.0,25.0,73.1
90,2022,B10,921,Iowa,5,64,121.548,98.0208,23.5269,121.1,97.7,23.4,53.6,49.8,30.4,26.2,12.9,19.3,32.2,69.8,30.2,67.8
91,2022,B12,920,Iowa St.,11,16,104.382,90.4362,13.9459,103.1,88.7,14.4,49.9,48.4,28.1,36.2,20.4,24.5,28.2,71.5,28.5,71.8
92,2022,ASun,919,Jacksonville St.,15,64,105.325,103.083,2.24147,104.0,101.7,2.3,54.2,48.0,32.2,21.1,20.0,17.1,28.3,73.8,26.2,71.7
93,2022,B12,918,Kansas,1,1,119.389,93.8965,25.492,120.2,92.9,27.3,54.1,46.9,32.8,27.8,17.8,18.4,33.4,71.1,28.9,66.6
94,2022,SEC,917,Kentucky,2,64,120.191,93.5959,26.5948,119.1,93.9,25.2,53.3,46.5,27.2,25.1,16.6,17.4,37.8,75.1,24.9,62.2
95,2022,BSth,916,Longwood,14,64,106.108,103.624,2.48399,105.6,102.6,3.0,51.7,50.6,35.9,26.8,18.2,20.1,33.6,75.5,24.5,66.4
96,2022,MVC,915,Loyola Chicago,10,64,110.891,93.196,17.6948,109.1,93.9,15.2,56.3,47.0,31.9,28.4,18.4,19.9,25.1,76.1,23.9,74.9
97,2022,SEC,914,LSU,6,64,107.64,88.5581,19.0816,105.8,88.1,17.7,49.5,45.1,33.0,38.4,20.4,25.3,33.7,68.8,31.2,66.3
98,2022,BE,913,Marquette,9,64,109.787,95.785,14.0024,107.9,95.3,12.6,52.6,46.7,26.8,29.7,17.3,19.1,22.4,68.6,31.4,77.6
99,2022,Amer,912,Memphis,9,32,110.368,94.1479,16.2198,110.4,93.2,17.2,52.6,46.5,38.4,32.9,22.9,20.9,37.5,69.0,31.0,62.5
100,2022,ACC,911,Miami FL,10,8,114.756,102.136,12.6207,114.3,100.6,13.7,54.2,53.4,28.9,24.6,14.2,20.3,23.4,69.7,30.3,76.6
101,2022,B10,910,Michigan,11,16,114.207,98.5588,15.6481,113.9,96.7,17.2,52.3,50.3,28.9,26.6,17.1,15.0,31.2,76.2,23.8,68.8
102,2022,B10,909,Michigan St.,7,32,111.275,96.4032,14.8717,110.9,95.5,15.4,52.0,47.5,30.4,28.3,19.2,15.3,30.7,73.0,27.0,69.3
103,2022,BSky,908,Montana St.,14,64,104.531,100.723,3.80856,103.0,100.8,2.2,54.1,48.6,40.5,36.2,18.5,18.3,26.7,76.7,23.3,73.3
104,2022,OVC,907,Murray St.,7,32,111.518,95.1287,16.389,109.6,95.0,14.6,52.9,48.0,31.1,24.6,17.1,21.0,35.5,74.6,25.4,64.5
105,2022,WAC,906,New Mexico St.,12,32,107.805,97.7021,10.1026,106.1,97.5,8.6,52.2,45.5,35.4,27.8,20.7,16.9,33.3,73.8,26.2,66.7
106,2022,MEAC,905,Norfolk St.,16,64,102.43,102.285,0.14543,99.9,102.1,-2.2,51.5,45.1,39.1,33.3,19.9,18.5,29.8,72.8,27.2,70.2
107,2022,ACC,904,North Carolina,8,2,113.057,97.0108,16.0459,112.8,95.9,16.9,52.1,49.8,29.6,21.5,16.5,14.1,30.4,79.2,20.8,69.6
108,2022,ACC,903,Notre Dame,11,32,111.997,98.3632,13.6336,111.9,97.1,14.8,54.0,49.1,27.7,22.9,15.5,15.0,22.1,76.0,24.0,77.9
109,2022,B10,902,Ohio St.,7,32,116.627,100.804,15.8224,116.3,99.5,16.8,54.8,47.9,33.5,29.2,16.7,15.3,28.8,71.4,28.6,71.2
110,2022,BE,901,Providence,4,16,111.929,98.0491,13.8797,111.6,96.9,14.7,50.3,46.7,38.5,26.3,17.3,15.8,30.5,72.0,28.0,69.5
111,2022,B10,900,Purdue,3,16,121.268,98.9804,22.2872,122.6,97.5,25.1,57.0,49.6,36.3,21.4,17.3,14.1,35.2,76.4,23.6,64.8
112,2022,A10,899,Richmond,12,32,109.146,99.3205,9.82501,107.7,99.4,8.3,51.5,50.5,30.9,23.5,14.4,18.9,22.4,72.8,27.2,77.6
113,2022,B10,898,Rutgers,11,68,106.375,95.5107,10.8648,104.6,95.6,9.0,49.5,48.3,26.9,28.8,17.3,18.2,29.3,72.9,27.1,70.7
114,2022,WCC,897,Saint Mary's,5,32,109.764,89.9554,19.8082,107.8,90.1,17.7,52.6,48.3,23.2,24.4,17.1,19.5,27.3,78.1,21.9,72.7
115,2022,MAAC,896,Saint Peter's,15,8,98.7512,94.4758,4.27548,97.6,94.1,3.5,47.8,44.1,37.5,41.0,20.8,20.9,31.5,72.0,28.0,68.5
116,2022,MWC,895,San Diego St.,8,64,104.106,85.9549,18.151,101.4,86.4,15.0,48.8,44.0,31.3,30.6,19.3,21.7,29.6,73.0,27.0,70.4
117,2022,WCC,894,San Francisco,10,64,110.756,92.3886,18.3679,109.4,92.2,17.2,53.1,46.9,28.4,32.2,18.1,18.5,30.3,76.2,23.8,69.7
118,2022,BE,893,Seton Hall,8,64,108.487,93.5199,14.967,106.8,93.3,13.5,47.6,45.4,30.8,27.8,17.5,18.5,32.7,70.9,29.1,67.3
